symbol,price_source,status,last_close,daily_high,daily_low,daily_volume,daily_turnover,pivot_high,contractions_pct,volume_trend_ok,score,bars,note,score_delta
HQL,yahoo,vcp,16.049999237060547,16.520000457763672,16.010000228881836,92000.0,1476599.9298095703,16.6200008392334,6.3|2.96|2.65,True,4,260,,4.0
INTA,yahoo,vcp,24.68000030517578,25.049999237060547,24.049999237060547,745500.0,18398940.227508545,25.68000030517578,39.44|23.77|12.84,True,4,260,,4.0
KRYS,yahoo,vcp,245.38999938964844,249.6000061035156,242.2599945068359,289700.0,71089482.82318115,258.0,9.05|6.35|5.29,True,4,260,,4.0
LOCO,yahoo,vcp,13.8100004196167,14.020000457763672,13.329999923706056,522400.0,7214344.219207764,14.329999923706056,10.75|5.12|1.26,True,4,260,,4.0
MRVL,yahoo,vcp,94.87999725341795,99.62999725341795,93.4000015258789,16478700.0,1563499010.7398987,91.58000183105467,7.36|6.03|4.32,True,4,260,,4.0
NBIX,yahoo,vcp,128.32000732421875,132.9499969482422,128.02000427246094,761300.0,97690021.57592772,130.7100067138672,12.82|3.98|2.8,True,4,260,,3.0
OIS,yahoo,vcp,12.199999809265137,12.479999542236328,12.0,932600.0,11377719.822120668,12.260000228881836,15.01|7.76|3.02,True,4,260,,1.0
PR,yahoo,vcp,21.649999618530273,21.799999237060547,21.420000076293945,12497000.0,270560045.2327728,19.189001083374023,6.25|2.66|1.95,True,4,260,,1.0
REAX,yahoo,vcp,2.4000000953674316,2.424999952316284,2.365000009536743,881200.0,2114880.0840377808,2.440000057220459,22.36|15.16|5.22,True,4,260,,4.0
RNWWW,yahoo,vcp,0.0080000003799796,0.0080000003799796,0.003000000026077,82200.0,657.600031234324,0.006000000052154,40.0|33.33|16.67,True,4,260,,4.0
SABA,yahoo,vcp,8.119999885559082,8.170000076293945,8.100000381469727,73100.0,593571.9916343689,8.170000076293945,1.72|0.97|0.86,True,4,260,,3.0
SATL,yahoo,vcp,5.929999828338623,6.25,5.559999942779541,14615200.0,86668133.49113464,3.380000114440918,48.18|15.73|8.58,True,4,260,,1.0
SF,yahoo,vcp,70.93000030517578,72.62000274658203,70.54000091552734,2635300.0,186921829.80422977,71.1500015258789,9.57|6.72|5.64,True,4,260,,3.0
